lowPt      highpT       weight     weight_up      weight_down         stats_error
150.0    170.0    0.970592081547    1.45588812232     0.485296040773       0.0282043509147
170.0    200.0    0.964424192905    1.44663628936     0.482212096453       0.0286122209562
200.0    230.0    0.956695139408    1.43504270911     0.478347569704       0.0392249724538
230.0    260.0    0.948747217655    1.42312082648     0.474373608828       0.0494504425151
260.0    290.0    0.94176107645    1.41264161468     0.470880538225       0.0297241172228
290.0    320.0    0.934245705605    1.40136855841     0.467122852802       0.0220306104133
320.0    350.0    0.927089333534    1.3906340003     0.463544666767       0.0228714912931
350.0    390.0    0.919180750847    1.37877112627     0.459590375423       0.024665408263
390.0    430.0    0.909925639629    1.36488845944     0.454962819815       0.023724983258
430.0    470.0    0.900910794735    1.3513661921     0.450455397367       0.0156526071496
470.0    510.0    0.892561435699    1.33884215355     0.44628071785       0.0177925206289
510.0    550.0    0.884353041649    1.32652956247     0.442176520824       0.0215220438841
550.0    590.0    0.876099944115    1.31414991617     0.438049972057       0.0254462626772
590.0    640.0    0.867687404156    1.30153110623     0.433843702078       0.0284440710635
640.0    690.0    0.858047068119    1.28707060218     0.42902353406       0.0261754749569
690.0    740.0    0.849013924599    1.2735208869     0.424506962299       0.0161422458367
740.0    790.0    0.840316832066    1.2604752481     0.420158416033       0.0171400819968
790.0    840.0    0.832017362118    1.24802604318     0.416008681059       0.0204116132603
840.0    900.0    0.823544859886    1.23531728983     0.411772429943       0.021390815348
900.0    960.0    0.814595520496    1.22189328074     0.407297760248       0.0269880284908
960.0    1020.0    0.806228935719    1.20934340358     0.403114467859       0.0321151007898
1020.0    1090.0    0.798037588596    1.19705638289     0.399018794298       0.0395362481822
1090.0    1160.0    0.789693713188    1.18454056978     0.394846856594       0.0496972338745
1160.0    1250.0    0.781163275242    1.17174491286     0.390581637621       0.0531943772628
