lowPt      highpT       weight     weight_up      weight_down         stats_error
150.0    170.0    0.96648144722    1.44972217083     0.48324072361       0.0273354001833
170.0    200.0    0.958350896835    1.43752634525     0.479175448418       0.0289482921186
200.0    230.0    0.94851320982    1.42276981473     0.47425660491       0.0404183851854
230.0    260.0    0.938303768635    1.40745565295     0.469151884317       0.0466359937384
260.0    290.0    0.929393827915    1.39409074187     0.464696913958       0.0272572295454
290.0    320.0    0.919687867165    1.37953180075     0.459843933582       0.0201306799461
320.0    350.0    0.910424590111    1.36563688517     0.455212295055       0.0227050059859
350.0    390.0    0.900288462639    1.35043269396     0.450144231319       0.0243755141007
390.0    430.0    0.889121949673    1.33368292451     0.444560974836       0.0230073542094
430.0    470.0    0.877254605293    1.31588190794     0.438627302647       0.0160989303161
470.0    510.0    0.866529941559    1.29979491234     0.433264970779       0.0180135316803
510.0    550.0    0.856031835079    1.28404775262     0.42801591754       0.0215653285146
550.0    590.0    0.845360279083    1.26804041862     0.422680139542       0.0260826725104
590.0    640.0    0.834675312042    1.25201296806     0.417337656021       0.0216063367228
640.0    690.0    0.822288095951    1.23343214393     0.411144047976       0.015742382401
690.0    740.0    0.810778558254    1.21616783738     0.405389279127       0.0173809754404
740.0    790.0    0.799689173698    1.19953376055     0.399844586849       0.0201946849362
790.0    840.0    0.788566112518    1.18284916878     0.394283056259       0.0254361676584
840.0    900.0    0.777413368225    1.16612005234     0.388706684113       0.0273188002085
900.0    960.0    0.765404522419    1.14810678363     0.382702261209       0.0349259222548
960.0    1020.0    0.753710508347    1.13056576252     0.376855254173       0.0424419075368
1020.0    1090.0    0.74226218462    1.11339327693     0.37113109231       0.0458395703848
1090.0    1160.0    0.729250490665    1.093875736     0.364625245333       0.057142067653
1160.0    1250.0    0.716423392296    1.07463508844     0.358211696148       0.0703948500674
