lowPt      highpT       weight     weight_up      weight_down         stats_error
150.0    170.0    0.993447899818    1.49017184973     0.496723949909       0.0206434338643
170.0    200.0    0.990594148636    1.48589122295     0.495297074318       0.0223205890112
200.0    230.0    0.987151265144    1.48072689772     0.493575632572       0.0305949310865
230.0    260.0    0.983324110508    1.47498616576     0.491662055254       0.0395345527094
260.0    290.0    0.980437457561    1.47065618634     0.490218728781       0.0374154710161
290.0    320.0    0.977336466312    1.46600469947     0.488668233156       0.0371042833253
320.0    350.0    0.974327743053    1.46149161458     0.487163871527       0.0331542868537
350.0    390.0    0.970767736435    1.45615160465     0.485383868217       0.0282069719752
390.0    430.0    0.968093931675    1.45214089751     0.484046965837       0.0252515812544
430.0    470.0    0.963285326958    1.44492799044     0.481642663479       0.0244622017873
470.0    510.0    0.959663629532    1.4394954443     0.479831814766       0.0168161054167
510.0    550.0    0.955693006516    1.43353950977     0.477846503258       0.0175958446124
550.0    590.0    0.95195555687    1.4279333353     0.475977778435       0.0222810431769
590.0    640.0    0.948179006577    1.42226850986     0.474089503288       0.0191114269826
640.0    690.0    0.943959712982    1.41593956947     0.471979856491       0.0200244943082
690.0    740.0    0.940430998802    1.4106464982     0.470215499401       0.0185994867153
740.0    790.0    0.936878621578    1.40531793237     0.468439310789       0.0183663537865
790.0    840.0    0.933292031288    1.39993804693     0.466646015644       0.0201604839376
840.0    900.0    0.929643988609    1.39446598291     0.464821994305       0.0183492800648
900.0    960.0    0.925767362118    1.38865104318     0.462883681059       0.0202219502164
960.0    1020.0    0.922028303146    1.38304245472     0.461014151573       0.0227392929478
1020.0    1090.0    0.918239414692    1.37735912204     0.459119707346       0.0240404549017
1090.0    1160.0    0.914257109165    1.37138566375     0.457128554583       0.0288543632893
1160.0    1250.0    0.910161197186    1.36524179578     0.455080598593       0.0325817247517
